NWCG_REPORTING_UNIT_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE
New Jersey Forest Fire Service,2011.0,2/19/2011 0:00,50.0,758.0,Human,Smoking,2/19/2011 0:00,50.0,1500.0,0.25,A,40.2347,-74.3736,PRIVATE,NJ
Central California District,2000.0,9/4/2000 0:00,248.0,1600.0,Human,Equipment and vehicle use,9/4/2000 0:00,248.0,1615.0,2.0,B,37.8363,-120.4785,BLM,CA
Red Lake Agency,2016.0,3/21/2016 0:00,81.0,2130.0,Human,Arson/incendiarism,3/21/2016 0:00,81.0,2130.0,0.1,A,47.8761,-94.9122,BIA,MN
Georgia Forestry Commission,2001.0,11/21/2001 0:00,325.0,1527.0,Human,Debris and open burning,11/21/2001 0:00,325.0,1527.0,0.45,B,33.11,-84.3414,PRIVATE,GA
North Carolina Forest Service,2009.0,9/3/2009 0:00,246.0,1421.0,Human,Equipment and vehicle use,9/3/2009 0:00,246.0,1440.0,0.5,B,34.91667,-79.9,STATE,NC
Fire Department of New York,2008.0,4/20/2008 0:00,111.0,1557.0,Human,Missing data/not specified/undetermined,4/20/2008 0:00,111.0,1557.0,1.23,B,42.93459703,-73.29950491,MISSING/NOT SPECIFIED,NY
Roswell Field Office,2018.0,4/16/2018 0:00,106.0,1258.0,Human,Missing data/not specified/undetermined,4/19/2018 0:00,109.0,1700.0,16.3,C,33.651939,-105.1995,PRIVATE,NM
Mississippi Forestry Commission,1996.0,3/22/1996 0:00,82.0,1611.0,Human,Debris and open burning,3/22/1996 0:00,82.0,1735.0,9.0,B,34.72249123,-89.02838154,MISSING/NOT SPECIFIED,MS
Georgia Forestry Commission,1995.0,5/15/1995 0:00,135.0,2000.0,Human,Debris and open burning,5/15/1995 0:00,135.0,2200.0,20.75,C,31.6181,-82.0561,PRIVATE,GA
Fire Department of New York,2009.0,11/7/2009 0:00,311.0,2128.0,Human,Missing data/not specified/undetermined,11/7/2009 0:00,311.0,2128.0,0.1,A,43.1090774,-77.47721967,MISSING/NOT SPECIFIED,NY
Central California District,1994.0,5/15/1994 0:00,135.0,2024.0,Human,Power generation/transmission/distribution,5/15/1994 0:00,135.0,2330.0,2.0,B,35.1,-119.4843,PRIVATE,CA
Oklahoma Division of Forestry,2002.0,12/2/2002 0:00,336.0,810.0,Human,Arson/incendiarism,12/2/2002 0:00,336.0,810.0,2.0,B,36.31288335,-94.87220001,PRIVATE,OK
Ely District Office,1998.0,7/21/1998 0:00,202.0,1558.0,Natural,Natural,7/21/1998 0:00,202.0,1800.0,0.1,A,37.4166,-114.2508,BLM,NV
Tonto National Forest,2007.0,9/5/2007 0:00,248.0,2000.0,Human,Recreation and ceremony,9/5/2007 0:00,248.0,2100.0,0.1,A,33.24583333,-111.09666670000001,USFS,AZ
South Carolina Forestry Commission,2010.0,4/24/2010 0:00,114.0,208.0,Human,Equipment and vehicle use,4/24/2010 0:00,114.0,816.0,8.0,B,33.826359000000004,-80.636429,PRIVATE,SC
Georgia Forestry Commission,2000.0,11/8/2000 0:00,313.0,1213.0,Human,Arson/incendiarism,11/8/2000 0:00,313.0,1213.0,0.02,A,31.8925,-82.6996,PRIVATE,GA
Oklahoma Division of Forestry,1996.0,2/14/1996 0:00,45.0,1610.0,Missing data/not specified/undetermined,Missing data/not specified/undetermined,2/14/1996 0:00,45.0,1630.0,3.0,B,34.76120033,-95.06829828,MISSING/NOT SPECIFIED,OK
Pine Ridge Agency,1996.0,7/26/1996 0:00,208.0,1630.0,Human,Debris and open burning,7/26/1996 0:00,208.0,1705.0,1.0,B,43.1155,-102.5893,BIA,SD
Wisconsin Department of Natural Resources,2016.0,5/22/2016 0:00,143.0,1448.0,Human,Equipment and vehicle use,5/22/2016 0:00,143.0,1641.0,0.49,B,46.18173,-90.47622,PRIVATE,WI
Klamath National Forest,2009.0,7/29/2009 0:00,210.0,2000.0,Natural,Natural,7/30/2009 0:00,211.0,1115.0,0.1,A,41.91222222,-123.0986111,USFS,CA
Georgia Forestry Commission,1996.0,6/5/1996 0:00,157.0,1355.0,Human,Debris and open burning,6/5/1996 0:00,157.0,1415.0,0.02,A,31.1552,-81.9379,PRIVATE,GA
Chattahoochee-Oconee National Forest,2004.0,3/7/2004 0:00,67.0,1330.0,Human,Debris and open burning,3/7/2004 0:00,67.0,1950.0,16.5,C,34.55916667,-85.06305556,STATE OR PRIVATE,GA
Cherokee Nation Tribe,2010.0,11/17/2010 0:00,321.0,1630.0,Human,Arson/incendiarism,11/17/2010 0:00,321.0,1830.0,4.0,B,35.7089,-94.5303,PRIVATE,OK
Arizona Department of Forestry and Fire Management - State Office,2010.0,4/10/2010 0:00,100.0,1908.0,Missing data/not specified/undetermined,Missing data/not specified/undetermined,4/10/2010 0:00,100.0,2300.0,0.01,A,33.5878,-111.8944,MISSING/NOT SPECIFIED,AZ
Helena - Lewis and Clark National Forest,1994.0,6/18/1994 0:00,169.0,1100.0,Natural,Natural,6/18/1994 0:00,169.0,1400.0,0.4,B,46.67,-111.73666670000001,USFS,MT
Florida Forest Service,2018.0,2/22/2018 0:00,53.0,1422.0,Human,Debris and open burning,2/22/2018 0:00,53.0,1556.0,10.0,C,30.614,-85.4483,MISSING/NOT SPECIFIED,FL
Attwater Prarie Chicken National Wildlife Refuge,1992.0,9/17/1992 0:00,261.0,1615.0,Human,Debris and open burning,9/17/1992 0:00,261.0,1700.0,2.5,B,29.668870000000002,-96.26481,FWS,TX
Central California District,2003.0,6/26/2003 0:00,177.0,2118.0,Human,Power generation/transmission/distribution,6/26/2003 0:00,177.0,2141.0,0.1,A,36.569739,-121.716889,PRIVATE,CA
Mississippi Forestry Commission,1999.0,6/7/1999 0:00,158.0,1915.0,Human,Debris and open burning,6/7/1999 0:00,158.0,2000.0,1.0,B,31.80082821,-90.41721922,MISSING/NOT SPECIFIED,MS
Lake Tahoe Basin Management Unit,1998.0,8/14/1998 0:00,226.0,1900.0,Natural,Natural,8/15/1998 0:00,227.0,600.0,0.1,A,38.81166667,-119.945,USFS,CA
Oklahoma Division of Forestry,2002.0,3/14/2002 0:00,73.0,1550.0,Human,Arson/incendiarism,3/15/2002 0:00,74.0,1800.0,20.0,C,36.29,-94.8581,MISSING/NOT SPECIFIED,OK
West Virginia Division of Forestry,1993.0,2/3/1993 0:00,34.0,1430.0,Human,Other causes,2/3/1993 0:00,34.0,1430.0,19.0,C,38.1820979,-81.91833043,PRIVATE,WV
Minnesota Department of Natural Resources,2011.0,10/21/2011 0:00,294.0,1520.0,Human,Debris and open burning,10/21/2011 0:00,294.0,1645.0,50.0,C,48.28360511,-95.52731716,PRIVATE,MN
Kansas Forest Service,2015.0,2/25/2015 0:00,56.0,1637.0,Human,Smoking,2/25/2015 0:00,56.0,1657.0,0.25,A,39.11,-95.11,MISSING/NOT SPECIFIED,KS
Warm Springs Agency,2008.0,8/18/2008 0:00,231.0,1032.0,Natural,Natural,9/12/2008 0:00,256.0,1400.0,68.0,C,44.7436,-121.7764,BIA,OR
South Carolina Forestry Commission,1993.0,4/27/1993 0:00,117.0,,Missing data/not specified/undetermined,Missing data/not specified/undetermined,4/27/1993 0:00,117.0,1204.0,0.1,A,32.7375,-81.22916667,MISSING/NOT SPECIFIED,SC
Lolo National Forest,1994.0,9/16/1994 0:00,259.0,1145.0,Natural,Natural,9/16/1994 0:00,259.0,1730.0,0.1,A,46.96166667,-114.705,STATE OR PRIVATE,MT
Fire Department of New York,2004.0,11/15/2004 0:00,320.0,1953.0,Human,Missing data/not specified/undetermined,11/15/2004 0:00,320.0,1953.0,0.1,A,42.83697611,-73.9128485,MISSING/NOT SPECIFIED,NY
Fire Department of New York,2016.0,7/18/2016 0:00,200.0,1427.0,Human,Recreation and ceremony,7/18/2016 0:00,200.0,1450.0,1.3,B,42.1073,-75.9597,MISSING/NOT SPECIFIED,NY
Georgia Forestry Commission,2011.0,1/22/2011 0:00,22.0,1400.0,Human,Debris and open burning,1/22/2011 0:00,22.0,1420.0,0.4,B,31.69484673,-84.59594348,STATE,GA
Georgia Forestry Commission,2014.0,12/13/2014 0:00,347.0,1333.0,Human,Debris and open burning,12/18/2014 0:00,352.0,1700.0,1.0,B,31.04693889,-82.71037222,MISSING/NOT SPECIFIED,GA
Illinois Division of Forestry Resources,2013.0,4/6/2013 0:00,96.0,1101.0,Human,Debris and open burning,4/6/2013 0:00,96.0,1249.0,19.0,C,40.747323,-90.6939297,MISSING/NOT SPECIFIED,IL
Willamette National Forest,2000.0,9/11/2000 0:00,255.0,1900.0,Human,Recreation and ceremony,9/12/2000 0:00,256.0,1700.0,0.1,A,43.78694444,-122.08,USFS,OR
South Carolina Forestry Commission,1992.0,7/19/1992 0:00,201.0,,Missing data/not specified/undetermined,Missing data/not specified/undetermined,7/19/1992 0:00,201.0,1155.0,0.1,A,34.37083333,-79.4625,MISSING/NOT SPECIFIED,SC
Black Hills National Forest,2006.0,9/11/2006 0:00,254.0,1500.0,Natural,Natural,9/11/2006 0:00,254.0,1630.0,0.1,A,43.72916667,-103.5130556,USFS,SD
Maine Forest Service,2003.0,6/4/2003 0:00,155.0,1026.0,Human,Debris and open burning,6/4/2003 0:00,155.0,1045.0,3.0,B,44.10011001,-70.45882998,MISSING/NOT SPECIFIED,ME
Fire Department of New York,2008.0,6/8/2008 0:00,160.0,1706.0,Human,Arson/incendiarism,6/8/2008 0:00,160.0,1706.0,0.1,A,43.24298352,-78.20697501,MISSING/NOT SPECIFIED,NY
